Company_name,Company_size,Description,Img_Url,Industry,Job_function,Job_type,Location,Salary,Title,apply_link
"Lighthouse Commodities, LLC",N/A,"Lighthouse Commodities, LLC (LHC) has extensive commodity trading and risk management experience across grain production, cattle feeding, and commodity processing industries. Since 2015, LHC has leveraged this experience to bring professional risk management, hedging and merchandising services to our farm clients. Lighthouse Commodities, LLC is seeking an established Accountant to fill a new role. This role will be responsible for assisting the CFO by performing various grain accounting duties. KEY RESPONSIBILITIES · Preparing accurate and timely producer grain settlements · Requesting and matching destination grain settlements · Creating and maintaining commodity discount schedules as needed · Freight Invoice Processing · AP/AR entry of commodity purchases and sales and general business expenses · Assisting with Accounts Receivable collections and credit application processing · Responding to Client settlement and payment questions and other reporting requests · Performing daily balancing of the Daily Position Report (DPR) and other risk/position reports · Assisting with month-end and year-end accounting functions KEY SKILLS and STRENGTHS · Experience with commodity accounting systems and software · Experience with Accounts Payable and Accounts Receivable · Proficiency in Microsoft Office suite · Remarkable attention to detail and commitment to accuracy · Ability to work independently, in a high stress environment and effectively manage multiple priorities and tasks simultaneously Work schedule will primarily be normal daytime business hours, Monday through Friday, with additional hours required as needed. Associates degree in Accounting · Bachelor’s Degree in Accounting · 3+ years of relevant work experience with a grain or commodity company · Understanding of commodity grain accounting processes Job Type: Full-time Pay: $60,000.00 - $65,000.00 per hour Benefits: Schedule: Supplemental Pay: Work Location: Job Duties: This Company Describes Its Culture as: Company's website: Company's Facebook page: Benefit Conditions: Work Remotely: book keeper audit senior budget analyst tax manager staff auditor tax associate Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,accountant,Full-time,"Bismarck, ND",,Accountant,"https://www.glassdoor.com/job-listing/accountant-lighthouse-commodities-JV_IC1156224_KO0,10_KE11,33.htm?jl=3801561397&pos=115&ao=1044077&s=58&guid=00000177811f7f6aaf329cc01c523ed8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c08e6433&cb=1612779061217&jobListingId=3801561397&ctt=1612779062137"
US Foods,10000+ Employees,"Join Our Community of Food People! Ready to build a career with a company that’s leading the foodservice industry? Top performers can make up to  / hour plus incentives; our delivery drivers start at       medical, dental, vision, 401K, life insurance, strong safety culture, and much more! stellar local leadership, best place to work, benefits on day ONE! is one of the largest food distributors with a culture and history of promoting from within, excellent training programs and a continuous improvement focus. *  Registering to the FMCSA Clearinghouse is a requirement by the Department of Transportation. All Drivers are required to the Clearinghouse website and register to the new database. The Clearinghouse is a secure online database that provides real-time information about commercial driver’s license (CDL) and commercial learner’s permit (CLP) holders’ drug and alcohol program violations. If you have not registered to the FMCSA database, please note registration is required. Please visit https://clearinghouse.fmcsa.dot.gov/register and click GO to login. If you are able to log into login, but are having trouble with the Clearinghouse registration, see “Clearinghouse Help” field on the clearinghouse page.     Job Type: Full-time Pay: $22.75 per hour Schedule: Trucking Driver Type: License/Certification: Trucking freight handling: Type of Freight: Trucking route: Work Remotely: it-serviceberater telekom analyst servicebereitstellung integration delivery drivers consulting technical manager Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/2856/us-foods-squarelogo-1576537756273.png,Business Services,delivery driver,Full-time,"Bismarck, ND",$18 - $55 Per Hour,"CDL A Delivery Driver - $5,000 Sign On Bonus","https://www.glassdoor.com/job-listing/cdl-a-delivery-driver-5-000-sign-on-bonus-us-foods-JV_IC1156224_KO0,41_KE42,50.htm?jl=3816118886&pos=116&ao=1044077&s=58&guid=00000177811f7f6aaf329cc01c523ed8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c5a63b4d&cb=1612779061217&jobListingId=3816118886&ctt=1612779062251"
RDO Equipment Co.,1001 to 5000 Employees,"ltl driver tractor trailer driver local driver car hauler forklift driver cdl drivers Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",https://media.glassdoor.com/sql/6447/rdo-equipment-squarelogo-1522702122680.png,"Construction, Repair & Maintenance",truck driver,Full-time,"Bismarck, ND",,Over The Road Truck Driver,https://recruiting2.ultipro.com/RDO1000RDO/JobBoard/b65401d2-4de5-4c2b-851f-556182926250/OpportunityDetail?opportunityId=72cd636d-621e-4e7e-9af5-403e3c8d3833&postingId=a4bbb717-7d62-47dd-8701-94ea7b3965bd&sourceId=d60e73c7-e3c4-4fe0-bf3b-658961ed2284
Prairie Sinus Ear & Allergy P.C.,N/A,"“Re-define healthcare! Can do attitudes carry self starters at progressive company to benefit patients here. Competitive wage & benefits.” We are seeking NURSING OR MEDICAL ASSISTANT STAFF to join our team in a multi-faceted role, as we re-define healthcare in Bismarck. : Company address: 3000 North 14th St 3rd Floor Bismarck, N.D. Telephone inquiries will be redirected to web applications through Indeed. Job Type: Full-time Pay: $33,937.00 - $64,000.00 per year Benefits: Medical Specialty: Schedule: Supplemental Pay: COVID-19 considerations: Covid-19 enhanced protective environment in place including air sanitization, patient screening, and remote advanced intake. License/Certification: Company's website: Benefit Conditions: Work Remotely: COVID-19 Precaution(s): assistant nurse manager rn lactation consultant licenced vocational nurse nurse residency program licensed vocational nurse assisted living administrator Glassdoor has millions of jobs plus salary information, company reviews, and interview questions from people on the inside making it easy to find a job that’s right for you. Glassdoor Employers Community Work With Us Copyright © 2008–2021, Glassdoor, Inc. ""Glassdoor"" and logo are registered trademarks of Glassdoor, Inc. ",,,registered nurse,Full-time,"Bismarck, ND",,NURSE / RN / LPN / CERTIFIED MEDICAL ASSISTANT,"https://www.glassdoor.com/job-listing/nurse-rn-lpn-certified-medical-assistant-prairie-sinus-ear-allergy-pc-JV_IC1156224_KO0,40_KE41,69.htm?jl=3784903301&pos=113&ao=1044077&s=58&guid=00000177811f7f6aaf329cc01c523ed8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_67a0d343&cb=1612779061216&jobListingId=3784903301&ctt=1612779062595"
